[23-Sep-2025 07:02:02 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with non-string $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 07:02:09 UTC] PHP Warning:  Undefined array key 1 in /Users/tusharkaw/Downloads/GnosPedia/extensions/CreateWiki/includes/WikiInitialize.php on line 147
[23-Sep-2025 07:02:09 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with null $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 07:02:09 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with non-string $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 07:02:39 UTC] PHP Warning:  Undefined array key 1 in /Users/tusharkaw/Downloads/GnosPedia/extensions/CreateWiki/includes/WikiInitialize.php on line 147
[23-Sep-2025 07:02:39 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with null $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 07:02:39 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with non-string $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 07:03:11 UTC] PHP Warning:  Undefined array key 1 in /Users/tusharkaw/Downloads/GnosPedia/extensions/CreateWiki/includes/WikiInitialize.php on line 147
[23-Sep-2025 07:03:11 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with null $wiki was deprecated in MediaWiki 1.44. [Called from require in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 07:03:11 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with non-string $wiki was deprecated in MediaWiki 1.44. [Called from require in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 07:04:10 UTC] PHP Warning:  Undefined array key 1 in /Users/tusharkaw/Downloads/GnosPedia/extensions/CreateWiki/includes/WikiInitialize.php on line 147
[23-Sep-2025 07:04:10 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with null $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 07:04:10 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with non-string $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 07:06:47 UTC] PHP Warning:  Undefined array key 1 in /Users/tusharkaw/Downloads/GnosPedia/extensions/CreateWiki/includes/WikiInitialize.php on line 147
[23-Sep-2025 07:06:47 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with null $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
[23-Sep-2025 07:06:47 UTC] PHP Deprecated:  Use of MediaWiki\Config\SiteConfiguration::extractAllGlobals with non-string $wiki was deprecated in MediaWiki 1.44. [Called from require_once in /Users/tusharkaw/Downloads/GnosPedia/LocalSettings.php at line 276] in /Users/tusharkaw/Downloads/GnosPedia/includes/debug/MWDebug.php on line 386
